,Value
diagnostics_Configuration_EnabledImageTypes,{'Original': {}}
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Image-original_Dimensionality,3D
diagnostics_Image-original_Hash,f7973f0f309c4609fb2590f7d6ef2da627fb4205
diagnostics_Image-original_Maximum,3071
diagnostics_Image-original_Mean,-545.527155
diagnostics_Image-original_Minimum,-1024
diagnostics_Image-original_Size,"(512, 512, 304)"
diagnostics_Image-original_Spacing,"(0.693359375, 0.693359375, 1.0)"
diagnostics_Mask-original_BoundingBox,"(113, 234, 231, 26, 21, 20)"
diagnostics_Mask-original_CenterOfMass,"(-95.69377779916789, -144.98459803983542, -66.12100036778227)"
diagnostics_Mask-original_CenterOfMassIndex,"(124.69657962486208, 243.98418536226555, 238.87899963221773)"
diagnostics_Mask-original_Hash,42df1e41a98acc42fb7d7f5b68f10aec710f3b32
diagnostics_Mask-original_Size,"(512, 512, 304)"
diagnostics_Mask-original_Spacing,"(0.693359375, 0.693359375, 1.0)"
diagnostics_Mask-original_VolumeNum,5
diagnostics_Mask-original_VoxelNum,2719
diagnostics_Versions_Numpy,1.26.4
diagnostics_Versions_PyRadiomics,v3.1.0
diagnostics_Versions_PyWavelet,1.6.0
diagnostics_Versions_Python,3.9.21
diagnostics_Versions_SimpleITK,2.4.0
original_firstorder_10Percentile,-443
original_firstorder_90Percentile,41
original_firstorder_Energy,155208621
original_firstorder_Entropy,4.49693579
original_firstorder_InterquartileRange,282
original_firstorder_Kurtosis,2.964832069
original_firstorder_Maximum,154
original_firstorder_Mean,-139.2728944
original_firstorder_MeanAbsoluteDeviation,162.6927719
original_firstorder_Median,-56
original_firstorder_Minimum,-812
original_firstorder_Range,966
original_firstorder_RobustMeanAbsoluteDeviation,121.3742116
original_firstorder_RootMeanSquared,238.9204458
original_firstorder_Skewness,-0.991658684
original_firstorder_TotalEnergy,74616113.52
original_firstorder_Uniformity,0.063358511
original_firstorder_Variance,37686.04028
original_glcm_Autocorrelation,905.5969351
original_glcm_ClusterProminence,85738.31412
original_glcm_ClusterShade,-2285.722545
original_glcm_ClusterTendency,147.5486704
original_glcm_Contrast,33.84923505
original_glcm_Correlation,0.619160105
