,Value
diagnostics_Configuration_EnabledImageTypes,{'Original': {}}
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Image-original_Dimensionality,3D
diagnostics_Image-original_Hash,75872836c15a534cb95ffe8823acabed5f18f233
diagnostics_Image-original_Maximum,3071.0
diagnostics_Image-original_Mean,-841.8217594454073
diagnostics_Image-original_Minimum,-2048.0
diagnostics_Image-original_Size,"(512, 512, 211)"
diagnostics_Image-original_Spacing,"(0.859375, 0.859375, 1.25)"
diagnostics_Mask-original_BoundingBox,"(302, 298, 82, 79, 83, 29)"
diagnostics_Mask-original_CenterOfMass,"(71.0873243757801, 53.633208745637944, -143.5775849706009)"
diagnostics_Mask-original_CenterOfMassIndex,"(332.7852430804532, 335.2822792676514, 95.53793202351929)"
diagnostics_Mask-original_Hash,f09118a648694e66fd66486be640b3ff0af36ac6
diagnostics_Mask-original_Size,"(512, 512, 211)"
diagnostics_Mask-original_Spacing,"(0.859375, 0.859375, 1.25)"
diagnostics_Mask-original_VolumeNum,2
diagnostics_Mask-original_VoxelNum,41838
diagnostics_Versions_Numpy,1.26.4
diagnostics_Versions_PyRadiomics,v3.1.0
diagnostics_Versions_PyWavelet,1.6.0
diagnostics_Versions_Python,3.9.21
diagnostics_Versions_SimpleITK,2.4.0
original_firstorder_10Percentile,-922.0
original_firstorder_90Percentile,89.0
original_firstorder_Energy,10644265176.0
original_firstorder_Entropy,5.300146534670452
original_firstorder_InterquartileRange,731.0
original_firstorder_Kurtosis,1.710784264658347
original_firstorder_Maximum,635.0
original_firstorder_Mean,-308.30321717099287
original_firstorder_MeanAbsoluteDeviation,362.10553247410047
original_firstorder_Median,-101.0
original_firstorder_Minimum,-1024.0
original_firstorder_Range,1659.0
original_firstorder_RobustMeanAbsoluteDeviation,304.9077145075431
original_firstorder_RootMeanSquared,504.3968723038476
original_firstorder_Skewness,-0.5114208568926816
original_firstorder_TotalEnergy,9826325121.276855
original_firstorder_Uniformity,0.0338057868185702
original_firstorder_Variance,159365.3310719195
original_glcm_Autocorrelation,1111.4531929174786
original_glcm_ClusterProminence,1319326.316144902
original_glcm_ClusterShade,-15451.10765353641
original_glcm_ClusterTendency,833.0179141230713
